Generation, Pareto Front, Average Fitness, Average Complexity
./generations/generation14,12,2.57247,78.6
./generations/generation14,13,1.87815,86.375
./generations/generation14,14,2.11673,87
./generations/generation14,15,0.964102,108
./generations/generation14,16,4.81017,60.4
./generations/generation14,17,1.47517,80
./generations/generation15,all,2.64482,77.91
./generations/generation15,1,6.92139,60.9091
./generations/generation15,2,1.66478,80.4444
./generations/generation15,3,1.70159,83.8571
./generations/generation15,4,1.94204,81.3333
./generations/generation15,5,1.53154,89.875
./generations/generation15,6,1.65416,85.1429
./generations/generation15,7,2.24693,67.4286
./generations/generation15,8,0.913055,107
./generations/generation15,9,2.17606,73.5
./generations/generation15,10,1.75842,93.1111
./generations/generation15,11,1.75299,72
./generations/generation15,12,5.78066,58.7143
./generations/generation15,13,1.632,67
./generations/generation15,14,1.94647,74.3333
./generations/generation15,15,1.64846,72
./generations/generation16,all,3.30905,75.97
./generations/generation16,1,2.30234,56.4444
./generations/generation16,2,1.31476,68.3
./generations/generation16,3,1.8833,82.6
./generations/generation16,4,4.70154,107
./generations/generation16,5,10.6407,67.9
./generations/generation16,6,4.05841,68.75
./generations/generation16,7,2.12983,85.2667
./generations/generation16,8,1.39157,65
./generations/generation16,9,1.04457,88.8333
./generations/generation16,10,2.54136,84.8333
./generations/generation16,11,2.05577,78
./generations/generation16,12,1.50546,71.3333
./generations/generation16,13,9.19493,56
./generations/generation16,14,1.60258,66
./generations/generation17,all,3.49644,75.3
./generations/generation17,1,3.60965,54.5455
./generations/generation17,2,1.70524,61.3333
./generations/generation17,3,2.43759,66.6364
./generations/generation17,4,4.84199,58.7143
./generations/generation17,5,0.882853,102.667
./generations/generation17,6,1.32652,90.8571
./generations/generation17,7,1.85315,121.833
./generations/generation17,8,3.63105,70.6
./generations/generation17,9,1.73321,77.8667
./generations/generation17,10,7.82319,63.8
./generations/generation17,11,9.21866,96
./generations/generation17,12,1.44236,63
./generations/generation18,all,3.67022,71.19
./generations/generation18,1,3.22923,55.0833
./generations/generation18,2,1.72384,59
./generations/generation18,3,2.14395,66.6667
./generations/generation18,4,1.26281,64.3333
./generations/generation18,5,2.83007,75.1111
./generations/generation18,6,4.2953,70.5385
./generations/generation18,7,1.65456,105.273
./generations/generation18,8,1.85979,66.5714
./generations/generation18,9,1.42189,93.8333
./generations/generation18,10,16.5566,45
./generations/generation18,11,2.25407,72
./generations/generation18,12,33.3835,41
./generations/generation18,13,20.9081,80.6667
./generations/generation19,all,2.86401,68.59
./generations/generation19,1,1.7891,55.0833
./generations/generation19,2,12.3674,42.6667
./generations/generation19,3,1.9514,53.2
./generations/generation19,4,1.26445,61.75
./generations/generation19,5,5.60201,54.75
./generations/generation19,6,3.72137,70
./generations/generation19,7,1.32951,70.2222
./generations/generation19,8,1.64548,66
./generations/generation19,9,2.90778,68.4
./generations/generation19,10,0.874596,127.455
./generations/generation20,all,3.79477,61.44
./generations/generation20,1,1.60309,53.05
./generations/generation20,2,2.23366,46.3333
./generations/generation20,3,6.64779,35
./generations/generation20,4,1.40073,58.0714
./generations/generation20,5,5.3495,48.3333
./generations/generation20,6,10.9102,51.2222
./generations/generation20,7,1.60108,61.7368
./generations/generation20,8,0.952075,80.5
./generations/generation20,9,1.57252,72.1429
./generations/generation20,10,6.71056,66.5
./generations/generation20,11,4.37291,123.286
./generations/generation20,12,26.6602,35
./generations/generation20,13,29.9524,35
./generations/generation21,all,2.17521,53.91
./generations/generation21,1,1.50927,53.3846
./generations/generation21,2,2.42919,42.9167
./generations/generation21,3,4.01817,47
./generations/generation21,4,2.24032,40.1429
./generations/generation21,5,1.63287,60.25
./generations/generation21,6,8.43422,55.6667
./generations/generation21,7,3.15821,50
./generations/generation21,8,1.1712,72.1429
./generations/generation21,9,1.65468,63.25
./generations/generation21,10,1.92778,51
./generations/generation22,all,2.32923,49.32
./generations/generation22,1,1.74606,51.88
./generations/generation22,2,1.5245,48.8095
./generations/generation22,3,1.74487,47.5385
./generations/generation22,4,6.01548,39.2857
./generations/generation22,5,2.38025,43.4118
./generations/generation22,6,1.59777,64.6
./generations/generation22,7,7.82683,56
./generations/generation22,8,4.45659,49.4
./generations/generation22,9,1.30215,61.6667
./generations/generation22,10,1.08444,56
./generations/generation23,all,2.4073,46.79
./generations/generation23,1,1.70128,51.0909
./generations/generation23,2,1.83954,45.2857
./generations/generation23,3,2.50072,49.5556
./generations/generation23,4,1.96432,43.6667
./generations/generation23,5,5.6323,42.6364
./generations/generation23,6,2.15176,39.4
./generations/generation23,7,2.22907,42.0909
./generations/generation24,all,2.27168,46.9
./generations/generation24,1,2.19256,43.5769
./generations/generation24,2,1.181,60.5263
./generations/generation24,3,1.45705,49
./generations/generation24,4,2.32327,37.8
./generations/generation24,5,3.01889,47.6667
./generations/generation24,6,5.99683,37.5455
./generations/generation24,7,2.41604,37.6667
./generations/generation25,all,1.83227,47.88
./generations/generation25,1,1.65903,50.4583
./generations/generation25,2,3.12425,32.3684
./generations/generation25,3,1.82199,43.7778
./generations/generation25,4,1.25691,53.8095
./generations/generation25,5,2.15206,37.3333
./generations/generation25,6,1.1791,61.2778
./generations/generation25,7,2.37329,37
./generations/generation26,all,2.19838,42.31
./generations/generation26,1,1.73789,48.8333
./generations/generation26,2,1.95003,36.9231
